Date,ISIN,Security Deposition,Maturity Date,Trades,Volume (Cr),Open Yield,High Yield,Low Yield,Last Yield,Wtd Avg Yield,Wtd Avg Price
12-09-2024,IN0020230085,7.18% GS 2033,14-08-2033,33,3122.61,6.3500,6.4500,6.1500,6.1500,6.3192,102.1800
12-09-2024,IN0020240027,7.23% GS 2039,15-04-2039,36,5525.06,6.2500,6.4500,6.2000,6.2000,6.2792,103.1700
12-09-2024,IN0020240019,7.10% GS 2034,08-04-2034,44,10212.76,6.3000,6.4500,5.7500,5.7500,6.3656,101.8900
12-09-2024,IN0020230077,7.18% GS 2037,24-07-2037,26,4336.26,6.3000,6.4500,6.3000,6.3000,6.3765,102.5500
12-09-2024,IN0020230051,7.30% GS 2053,19-06-2053,16,2221.34,6.2500,6.4500,6.2500,6.3500,6.4004,104.2900
12-09-2024,IN0020230135,7.32% GS 2030,13-11-2030,18,4280.65,6.2500,6.4500,6.2500,6.3000,6.4096,102.6475
12-09-2024,IN0020190362,6.45% GS 2029,07-10-2029,4,57.96,6.2500,6.3500,6.2500,6.2500,6.3363,98.7500
12-09-2024,IN0020240076,7.02% GS 2031,18-06-2031,9,1170.46,6.3500,6.4800,6.3500,6.3500,6.4091,101.1800
12-09-2024,IN0020200070,5.79% GS 2030,11-05-2030,5,114.52,6.3000,6.4000,6.3000,6.3500,6.3522,95.3675
12-09-2024,IN0020230044,7.25% GS 2063,12-06-2063,12,4569.53,6.3500,6.4500,6.3500,6.4400,6.4151,103.0900
12-09-2024,IN0020230085,7.18% GS 2033,14-08-2033,33,3122.61,6.3500,6.4500,6.1500,6.1500,6.3192,102.1800
12-09-2024,IN0020240027,7.23% GS 2039,15-04-2039,36,5525.06,6.2500,6.4500,6.2000,6.2000,6.2792,103.1700
12-09-2024,IN0020240019,7.10% GS 2034,08-04-2034,44,10212.76,6.3000,6.4500,5.7500,5.7500,6.3656,101.8900
12-09-2024,IN0020230077,7.18% GS 2037,24-07-2037,26,4336.26,6.3000,6.4500,6.3000,6.3000,6.3765,102.5500
12-09-2024,IN0020230051,7.30% GS 2053,19-06-2053,16,2221.34,6.2500,6.4500,6.2500,6.3500,6.4004,104.2900
12-09-2024,IN0020230135,7.32% GS 2030,13-11-2030,18,4280.65,6.2500,6.4500,6.2500,6.3000,6.4096,102.6475
12-09-2024,IN0020190362,6.45% GS 2029,07-10-2029,4,57.96,6.2500,6.3500,6.2500,6.2500,6.3363,98.7500
12-09-2024,IN0020240076,7.02% GS 2031,18-06-2031,9,1170.46,6.3500,6.4800,6.3500,6.3500,6.4091,101.1800
12-09-2024,IN0020200070,5.79% GS 2030,11-05-2030,5,114.52,6.3000,6.4000,6.3000,6.3500,6.3522,95.3675
12-09-2024,IN0020230044,7.25% GS 2063,12-06-2063,12,4569.53,6.3500,6.4500,6.3500,6.4400,6.4151,103.0900
12-09-2024,IN0020230085,7.18% GS 2033,14-08-2033,33,3122.61,6.3500,6.4500,6.1500,6.1500,6.3192,102.1800
12-09-2024,IN0020240027,7.23% GS 2039,15-04-2039,36,5525.06,6.2500,6.4500,6.2000,6.2000,6.2792,103.1700
12-09-2024,IN0020240019,7.10% GS 2034,08-04-2034,44,10212.76,6.3000,6.4500,5.7500,5.7500,6.3656,101.8900
12-09-2024,IN0020230077,7.18% GS 2037,24-07-2037,26,4336.26,6.3000,6.4500,6.3000,6.3000,6.3765,102.5500
12-09-2024,IN0020230051,7.30% GS 2053,19-06-2053,16,2221.34,6.2500,6.4500,6.2500,6.3500,6.4004,104.2900
12-09-2024,IN0020230135,7.32% GS 2030,13-11-2030,18,4280.65,6.2500,6.4500,6.2500,6.3000,6.4096,102.6475
12-09-2024,IN0020190362,6.45% GS 2029,07-10-2029,4,57.96,6.2500,6.3500,6.2500,6.2500,6.3363,98.7500
